total,bonds,angles,improper,dihe,vdw,elec,air,cdih,coup,rdcs,vean,dani,xpcs,rg,desolv,bsa,experiment_id,model_name,haddock_score,best_model
-359.087, 0, 0, 0, 0, -69.2249, -289.863, 0, 0, 0, 0, 0, 0, 0, 0,2.60931,1856.17,AVFluIgG01__EPI454493,mdscoring_10.pdb,-124.59,False
-411.664, 0, 0, 0, 0, -53.7046, -357.959, 0, 0, 0, 0, 0, 0, 0, 0,4.90378,1831.77,AVFluIgG01__EPI454493,mdscoring_9.pdb,-120.39,False
-397.35, 0, 0, 0, 0, -57.2591, -340.091, 0, 0, 0, 0, 0, 0, 0, 0,8.86324,1876.4,AVFluIgG01__EPI454493,mdscoring_8.pdb,-116.41,False
-345.912, 0, 0, 0, 0, -64.6045, -281.307, 0, 0, 0, 0, 0, 0, 0, 0,4.60227,1693.72,AVFluIgG01__EPI454493,mdscoring_4.pdb,-116.26,False
-376.518, 0, 0, 0, 0, -58.9567, -317.562, 0, 0, 0, 0, 0, 0, 0, 0,8.48368,1679.47,AVFluIgG01__EPI454493,mdscoring_1.pdb,-113.99,False
-332.098, 0, 0, 0, 0, -64.9787, -267.119, 0, 0, 0, 0, 0, 0, 0, 0,-12.3582,2030.32,13D4__EPI687187,mdscoring_2.pdb,-130.76,True
-295.723, 0, 0, 0, 0, -70.5032, -225.22, 0, 0, 0, 0, 0, 0, 0, 0,-4.07915,2033.1,13D4__EPI687187,mdscoring_1.pdb,-119.63,False
-308.426, 0, 0, 0, 0, -72.9576, -235.469, 0, 0, 0, 0, 0, 0, 0, 0,1.89142,2102.78,13D4__EPI687187,mdscoring_9.pdb,-118.16,False
-283.271, 0, 0, 0, 0, -70.2246, -213.047, 0, 0, 0, 0, 0, 0, 0, 0,-3.4195,2172.81,13D4__EPI687187,mdscoring_8.pdb,-116.25,False
-286.548, 0, 0, 0, 0, -56.0596, -230.489, 0, 0, 0, 0, 0, 0, 0, 0,-3.76594,1933.55,13D4__EPI687187,mdscoring_5.pdb,-105.92,False
-292.985, 0, 0, 0, 0, -51.4095, -241.575, 0, 0, 0, 0, 0, 0, 0, 0,-1.90035,1816.02,13D4__EPI687187,mdscoring_6.pdb,-101.62,False
-232.091, 0, 0, 0, 0, -64.5404, -167.55, 0, 0, 0, 0, 0, 0, 0, 0,-1.45068,1925.69,13D4__EPI687187,mdscoring_7.pdb,-99.5,False
-297.01, 0, 0, 0, 0, -48.056, -248.954, 0, 0, 0, 0, 0, 0, 0, 0,5.67359,1787.67,13D4__EPI687187,mdscoring_3.pdb,-92.17,False
-212.483, 0, 0, 0, 0, -51.2748, -161.208, 0, 0, 0, 0, 0, 0, 0, 0,-6.50419,1757.69,13D4__EPI687187,mdscoring_10.pdb,-90.02,False
-276.924, 0, 0, 0, 0, -44.3721, -232.552, 0, 0, 0, 0, 0, 0, 0, 0,2.75544,1698.85,13D4__EPI687187,mdscoring_4.pdb,-88.13,False
-344.726, 0, 0, 0, 0, -74.0325, -270.693, 0, 0, 0, 0, 0, 0, 0, 0,6.83741,2057.39,FLD194__EPI340788,mdscoring_1.pdb,-121.33,True
-294.684, 0, 0, 0, 0, -65.8784, -228.805, 0, 0, 0, 0, 0, 0, 0, 0,-4.26885,1915.94,FLD194__EPI340788,mdscoring_9.pdb,-115.91,False
-334.494, 0, 0, 0, 0, -69.0007, -265.493, 0, 0, 0, 0, 0, 0, 0, 0,6.60891,1961.8,FLD194__EPI340788,mdscoring_4.pdb,-115.49,False
-253.981, 0, 0, 0, 0, -71.1659, -182.815, 0, 0, 0, 0, 0, 0, 0, 0,-0.772802,1944.37,FLD194__EPI340788,mdscoring_7.pdb,-108.5,False
-267.841, 0, 0, 0, 0, -65.9184, -201.923, 0, 0, 0, 0, 0, 0, 0, 0,-1.47993,1987.95,FLD194__EPI340788,mdscoring_10.pdb,-107.78,False
-327.301, 0, 0, 0, 0, -58.1347, -269.166, 0, 0, 0, 0, 0, 0, 0, 0,4.2116,1885.41,FLD194__EPI340788,mdscoring_6.pdb,-107.76,False
-305.662, 0, 0, 0, 0, -60.0401, -245.622, 0, 0, 0, 0, 0, 0, 0, 0,6.86446,1871.59,FLD194__EPI340788,mdscoring_2.pdb,-102.3,False
-274.451, 0, 0, 0, 0, -63.3567, -211.094, 0, 0, 0, 0, 0, 0, 0, 0,4.64595,1888.27,FLD194__EPI340788,mdscoring_8.pdb,-100.93,False
-264.409, 0, 0, 0, 0, -57.2071, -207.202, 0, 0, 0, 0, 0, 0, 0, 0,-2.08622,1893.34,FLD194__EPI340788,mdscoring_5.pdb,-100.73,False
-246.085, 0, 0, 0, 0, -63.7381, -182.346, 0, 0, 0, 0, 0, 0, 0, 0,0.406189,1767.06,FLD194__EPI340788,mdscoring_3.pdb,-99.8,False
-432.38, 0, 0, 0, 0, -103.98, -328.401, 0, 0, 0, 0, 0, 0, 0, 0,-14.2435,2328.86,13D4__EPI1158808,mdscoring_4.pdb,-183.9,True
-475.839, 0, 0, 0, 0, -97.0388, -378.8, 0, 0, 0, 0, 0, 0, 0, 0,-8.77388,2368.25,13D4__EPI1158808,mdscoring_1.pdb,-181.57,False
-431.427, 0, 0, 0, 0, -96.0397, -335.387, 0, 0, 0, 0, 0, 0, 0, 0,-14.5939,2402.13,13D4__EPI1158808,mdscoring_10.pdb,-177.71,False
-390.948, 0, 0, 0, 0, -96.8788, -294.069, 0, 0, 0, 0, 0, 0, 0, 0,-9.44739,2359.77,13D4__EPI1158808,mdscoring_3.pdb,-165.14,False
-381.805, 0, 0, 0, 0, -89.4624, -292.342, 0, 0, 0, 0, 0, 0, 0, 0,-12.7,2342.99,13D4__EPI1158808,mdscoring_5.pdb,-160.63,False
-420.376, 0, 0, 0, 0, -85.3892, -334.987, 0, 0, 0, 0, 0, 0, 0, 0,-8.00029,2193.45,13D4__EPI1158808,mdscoring_6.pdb,-160.39,False
-430.69, 0, 0, 0, 0, -79.8304, -350.86, 0, 0, 0, 0, 0, 0, 0, 0,-7.23137,2289.79,13D4__EPI1158808,mdscoring_2.pdb,-157.23,False
-352.396, 0, 0, 0, 0, -77.7302, -274.665, 0, 0, 0, 0, 0, 0, 0, 0,-11.8649,2243.88,13D4__EPI1158808,mdscoring_7.pdb,-144.53,False
-312.565, 0, 0, 0, 0, -86.8995, -225.665, 0, 0, 0, 0, 0, 0, 0, 0,-5.79218,2145.39,13D4__EPI1158808,mdscoring_8.pdb,-137.82,False
-369.748, 0, 0, 0, 0, -75.5658, -294.182, 0, 0, 0, 0, 0, 0, 0, 0,-2.60987,2013.23,13D4__EPI1158808,mdscoring_9.pdb,-137.01,False
-371.609, 0, 0, 0, 0, -77.7188, -293.89, 0, 0, 0, 0, 0, 0, 0, 0,-4.81103,2095.51,H5.3__EPI1328383,mdscoring_9.pdb,-141.31,True
-347.053, 0, 0, 0, 0, -54.3415, -292.711, 0, 0, 0, 0, 0, 0, 0, 0,0.440865,1877.32,H5.3__EPI1328383,mdscoring_10.pdb,-112.44,False
-267.56, 0, 0, 0, 0, -60.6042, -206.956, 0, 0, 0, 0, 0, 0, 0, 0,-3.82146,1781.11,H5.3__EPI1328383,mdscoring_7.pdb,-105.82,False
-285.833, 0, 0, 0, 0, -59.9902, -225.843, 0, 0, 0, 0, 0, 0, 0, 0,-9.975257E-02,1807.6,H5.3__EPI1328383,mdscoring_5.pdb,-105.26,False
-246.865, 0, 0, 0, 0, -61.0996, -185.765, 0, 0, 0, 0, 0, 0, 0, 0,-0.7877,1968.95,H5.3__EPI1328383,mdscoring_3.pdb,-99.04,False
-252.741, 0, 0, 0, 0, -63.944, -188.797, 0, 0, 0, 0, 0, 0, 0, 0,4.67735,1848.25,H5.3__EPI1328383,mdscoring_6.pdb,-97.03,False
-264.67, 0, 0, 0, 0, -51.719, -212.951, 0, 0, 0, 0, 0, 0, 0, 0,0.882201,1799.35,H5.3__EPI1328383,mdscoring_1.pdb,-93.43,False
-279.926, 0, 0, 0, 0, -46.0582, -233.868, 0, 0, 0, 0, 0, 0, 0, 0,2.52112,1590.32,H5.3__EPI1328383,mdscoring_4.pdb,-90.31,False
-275.843, 0, 0, 0, 0, -42.1518, -233.691, 0, 0, 0, 0, 0, 0, 0, 0,2.43545,1647.43,H5.3__EPI1328383,mdscoring_8.pdb,-86.45,False
-247.811, 0, 0, 0, 0, -38.9448, -208.866, 0, 0, 0, 0, 0, 0, 0, 0,-0.152489,1682.08,H5.3__EPI1328383,mdscoring_2.pdb,-80.87,False
-473.389, 0, 0, 0, 0, -88.2285, -385.161, 0, 0, 0, 0, 0, 0, 0, 0,-8.02925,2231.26,12H5__EPI467792,mdscoring_7.pdb,-173.29,True
-487.024, 0, 0, 0, 0, -74.2493, -412.774, 0, 0, 0, 0, 0, 0, 0, 0,-15.5732,2102.3,12H5__EPI467792,mdscoring_4.pdb,-172.38,False
-461.403, 0, 0, 0, 0, -75.4527, -385.951, 0, 0, 0, 0, 0, 0, 0, 0,-18.2336,2150.9,12H5__EPI467792,mdscoring_6.pdb,-170.88,False
-526.986, 0, 0, 0, 0, -74.7019, -452.284, 0, 0, 0, 0, 0, 0, 0, 0,-2.3417,2002.29,12H5__EPI467792,mdscoring_1.pdb,-167.5,False
-540.19, 0, 0, 0, 0, -51.5034, -488.686, 0, 0, 0, 0, 0, 0, 0, 0,-1.93682,1904.76,12H5__EPI467792,mdscoring_2.pdb,-151.18,False
-496.448, 0, 0, 0, 0, -60.1946, -436.253, 0, 0, 0, 0, 0, 0, 0, 0,2.38711E-02,1847.44,12H5__EPI467792,mdscoring_10.pdb,-147.42,False
-491.593, 0, 0, 0, 0, -54.7551, -436.838, 0, 0, 0, 0, 0, 0, 0, 0,-3.09136,1974.01,12H5__EPI467792,mdscoring_5.pdb,-145.21,False
-390.824, 0, 0, 0, 0, -60.0557, -330.768, 0, 0, 0, 0, 0, 0, 0, 0,-1.23142,2016.83,12H5__EPI467792,mdscoring_9.pdb,-127.44,False
-412.869, 0, 0, 0, 0, -47.3499, -365.519, 0, 0, 0, 0, 0, 0, 0, 0,-2.71286,1678.65,12H5__EPI467792,mdscoring_3.pdb,-123.17,False
-411.108, 0, 0, 0, 0, -42.0582, -369.05, 0, 0, 0, 0, 0, 0, 0, 0,0.645082,1883.48,12H5__EPI467792,mdscoring_8.pdb,-115.22,False
-538.501, 0, 0, 0, 0, -104.087, -434.414, 0, 0, 0, 0, 0, 0, 0, 0,-0.924192,2711.2,12H5__EPI355443,mdscoring_2.pdb,-191.89,True
-530.206, 0, 0, 0, 0, -96.9208, -433.286, 0, 0, 0, 0, 0, 0, 0, 0,4.17594,2618.54,12H5__EPI355443,mdscoring_1.pdb,-179.4,False
-482.47, 0, 0, 0, 0, -94.5167, -387.954, 0, 0, 0, 0, 0, 0, 0, 0,-6.67909,2652.48,12H5__EPI355443,mdscoring_6.pdb,-178.79,False
-461.655, 0, 0, 0, 0, -90.7082, -370.947, 0, 0, 0, 0, 0, 0, 0, 0,-5.21945,2641.56,12H5__EPI355443,mdscoring_10.pdb,-170.12,False
-395.871, 0, 0, 0, 0, -98.3928, -297.478, 0, 0, 0, 0, 0, 0, 0, 0,-7.00531,2698.96,12H5__EPI355443,mdscoring_3.pdb,-164.89,False
-285.683, 0, 0, 0, 0, -106.079, -179.604, 0, 0, 0, 0, 0, 0, 0, 0,-16.8164,2456.89,12H5__EPI355443,mdscoring_8.pdb,-158.82,False
-416.436, 0, 0, 0, 0, -84.1696, -332.266, 0, 0, 0, 0, 0, 0, 0, 0,-5.59098,2597.19,12H5__EPI355443,mdscoring_9.pdb,-156.21,False
-430.397, 0, 0, 0, 0, -75.3718, -355.026, 0, 0, 0, 0, 0, 0, 0, 0,-9.28907,2461.94,12H5__EPI355443,mdscoring_5.pdb,-155.67,False
-394.812, 0, 0, 0, 0, -61.4741, -333.338, 0, 0, 0, 0, 0, 0, 0, 0,-13.1074,2080.34,12H5__EPI355443,mdscoring_4.pdb,-141.25,False
-303.752, 0, 0, 0, 0, -85.6407, -218.111, 0, 0, 0, 0, 0, 0, 0, 0,-11.4986,2548.58,12H5__EPI355443,mdscoring_7.pdb,-140.76,False
-383.675, 0, 0, 0, 0, -77.5526, -306.122, 0, 0, 0, 0, 0, 0, 0, 0,0.791642,2040.81,3C11__EPI275862,mdscoring_5.pdb,-137.99,True
-386.401, 0, 0, 0, 0, -70.3002, -316.101, 0, 0, 0, 0, 0, 0, 0, 0,-1.62764,1875.54,3C11__EPI275862,mdscoring_9.pdb,-135.15,False
-350.29, 0, 0, 0, 0, -72.4833, -277.807, 0, 0, 0, 0, 0, 0, 0, 0,-3.4071,2034.46,3C11__EPI275862,mdscoring_7.pdb,-131.45,False
-334.558, 0, 0, 0, 0, -72.601, -261.957, 0, 0, 0, 0, 0, 0, 0, 0,-2.86996,1814.52,3C11__EPI275862,mdscoring_10.pdb,-127.86,False
-389.464, 0, 0, 0, 0, -68.0598, -321.404, 0, 0, 0, 0, 0, 0, 0, 0,4.53951,1840.21,3C11__EPI275862,mdscoring_8.pdb,-127.8,False
-376.157, 0, 0, 0, 0, -65.5823, -310.575, 0, 0, 0, 0, 0, 0, 0, 0,0.181758,1914.92,3C11__EPI275862,mdscoring_1.pdb,-127.52,False
-330.213, 0, 0, 0, 0, -72.5787, -257.635, 0, 0, 0, 0, 0, 0, 0, 0,5.69215,1979.71,3C11__EPI275862,mdscoring_3.pdb,-118.41,False
-336.916, 0, 0, 0, 0, -63.0017, -273.914, 0, 0, 0, 0, 0, 0, 0, 0,0.837374,1966.79,3C11__EPI275862,mdscoring_6.pdb,-116.95,False
-347.343, 0, 0, 0, 0, -54.039, -293.304, 0, 0, 0, 0, 0, 0, 0, 0,-2.18303,1852.61,3C11__EPI275862,mdscoring_4.pdb,-114.88,False
-352.422, 0, 0, 0, 0, -55.0892, -297.333, 0, 0, 0, 0, 0, 0, 0, 0,5.69384,1778.19,3C11__EPI275862,mdscoring_2.pdb,-108.86,False
-262.284, 0, 0, 0, 0, -95.6093, -166.675, 0, 0, 0, 0, 0, 0, 0, 0,-22.2999,2382.19,FLD21.140__EPI275758,mdscoring_8.pdb,-151.24,True
-221.328, 0, 0, 0, 0, -94.571, -126.757, 0, 0, 0, 0, 0, 0, 0, 0,-21.1154,2422.26,FLD21.140__EPI275758,mdscoring_3.pdb,-141.04,False
-192.21, 0, 0, 0, 0, -91.9875, -100.222, 0, 0, 0, 0, 0, 0, 0, 0,-26.6858,2339.42,FLD21.140__EPI275758,mdscoring_2.pdb,-138.72,False
-209.204, 0, 0, 0, 0, -89.3391, -119.865, 0, 0, 0, 0, 0, 0, 0, 0,-24.233,2185.61,FLD21.140__EPI275758,mdscoring_4.pdb,-137.55,False
-188.57, 0, 0, 0, 0, -92.2461, -96.3236, 0, 0, 0, 0, 0, 0, 0, 0,-25.7231,2282.92,FLD21.140__EPI275758,mdscoring_1.pdb,-137.23,False
-182.304, 0, 0, 0, 0, -80.5522, -101.752, 0, 0, 0, 0, 0, 0, 0, 0,-23.8103,2098.35,FLD21.140__EPI275758,mdscoring_5.pdb,-124.71,False
-185.815, 0, 0, 0, 0, -77.3706, -108.445, 0, 0, 0, 0, 0, 0, 0, 0,-20.8179,2208.11,FLD21.140__EPI275758,mdscoring_7.pdb,-119.88,False
-164.091, 0, 0, 0, 0, -79.0333, -85.0577, 0, 0, 0, 0, 0, 0, 0, 0,-14.9774,2094.78,FLD21.140__EPI275758,mdscoring_6.pdb,-111.02,False
-337.066, 0, 0, 0, 0, -72.8776, -264.188, 0, 0, 0, 0, 0, 0, 0, 0,-4.31758,1929.25,13D4__EPI275790,mdscoring_4.pdb,-130.03,True
-365.882, 0, 0, 0, 0, -59.1628, -306.719, 0, 0, 0, 0, 0, 0, 0, 0,-0.902647,1833.25,13D4__EPI275790,mdscoring_3.pdb,-121.41,False
-418.641, 0, 0, 0, 0, -53.0901, -365.551, 0, 0, 0, 0, 0, 0, 0, 0,5.11679,1632.63,13D4__EPI275790,mdscoring_1.pdb,-121.08,False
-307.04, 0, 0, 0, 0, -67.4853, -239.555, 0, 0, 0, 0, 0, 0, 0, 0,-4.91051,1750.28,13D4__EPI275790,mdscoring_5.pdb,-120.31,False
-327.191, 0, 0, 0, 0, -55.5309, -271.66, 0, 0, 0, 0, 0, 0, 0, 0,1.08773,1723.88,13D4__EPI275790,mdscoring_2.pdb,-108.78,False
-304.247, 0, 0, 0, 0, -53.8622, -250.384, 0, 0, 0, 0, 0, 0, 0, 0,-3.45288,1731.98,13D4__EPI275790,mdscoring_7.pdb,-107.39,False
-253.761, 0, 0, 0, 0, -51.0166, -202.745, 0, 0, 0, 0, 0, 0, 0, 0,-0.60175,1630.1,13D4__EPI275790,mdscoring_6.pdb,-92.17,False
-431.98, 0, 0, 0, 0, -70.7685, -361.211, 0, 0, 0, 0, 0, 0, 0, 0,-0.165354,2260.3,100F4__EPI3158642,mdscoring_1.pdb,-143.18,True
-335.353, 0, 0, 0, 0, -71.5701, -263.783, 0, 0, 0, 0, 0, 0, 0, 0,0.728857,2074.37,100F4__EPI3158642,mdscoring_7.pdb,-123.6,False
-313.915, 0, 0, 0, 0, -72.8877, -241.028, 0, 0, 0, 0, 0, 0, 0, 0,1.56339,2121.27,100F4__EPI3158642,mdscoring_3.pdb,-119.53,False
-295.578, 0, 0, 0, 0, -71.8243, -223.753, 0, 0, 0, 0, 0, 0, 0, 0,-2.85847,2001.98,100F4__EPI3158642,mdscoring_4.pdb,-119.43,False
-303.376, 0, 0, 0, 0, -68.6294, -234.746, 0, 0, 0, 0, 0, 0, 0, 0,-3.73968,2043.81,100F4__EPI3158642,mdscoring_2.pdb,-119.32,False
-286.674, 0, 0, 0, 0, -63.6844, -222.99, 0, 0, 0, 0, 0, 0, 0, 0,-6.17237,1987.13,100F4__EPI3158642,mdscoring_5.pdb,-114.45,False
-301.709, 0, 0, 0, 0, -58.3736, -243.336, 0, 0, 0, 0, 0, 0, 0, 0,6.15526,1989.81,100F4__EPI3158642,mdscoring_8.pdb,-100.89,False
-273.218, 0, 0, 0, 0, -55.2687, -217.949, 0, 0, 0, 0, 0, 0, 0, 0,-1.50116,1804.73,100F4__EPI3158642,mdscoring_6.pdb,-100.36,False
-210.226, 0, 0, 0, 0, -62.1584, -148.067, 0, 0, 0, 0, 0, 0, 0, 0,-4.82406,1834.92,100F4__EPI3158642,mdscoring_9.pdb,-96.6,False
-404.154, 0, 0, 0, 0, -106.473, -297.681, 0, 0, 0, 0, 0, 0, 0, 0,-15.0215,2767.54,3C11__EPI340399,mdscoring_3.pdb,-181.03,True
-446.913, 0, 0, 0, 0, -98.6418, -348.271, 0, 0, 0, 0, 0, 0, 0, 0,-7.80611,2702.66,3C11__EPI340399,mdscoring_6.pdb,-176.1,False
-460.82, 0, 0, 0, 0, -96.3801, -364.44, 0, 0, 0, 0, 0, 0, 0, 0,-0.707218,2738.22,3C11__EPI340399,mdscoring_1.pdb,-169.98,False
-422.852, 0, 0, 0, 0, -93.5269, -329.325, 0, 0, 0, 0, 0, 0, 0, 0,-7.0965,2487.53,3C11__EPI340399,mdscoring_9.pdb,-166.49,False
-427.794, 0, 0, 0, 0, -87.9277, -339.866, 0, 0, 0, 0, 0, 0, 0, 0,-10.0291,2586.45,3C11__EPI340399,mdscoring_5.pdb,-165.93,False
-448.321, 0, 0, 0, 0, -88.9388, -359.382, 0, 0, 0, 0, 0, 0, 0, 0,-5.228644E-02,2655.72,3C11__EPI340399,mdscoring_2.pdb,-160.87,False
-370.607, 0, 0, 0, 0, -69.9867, -300.62, 0, 0, 0, 0, 0, 0, 0, 0,-5.84847,2076.12,3C11__EPI340399,mdscoring_7.pdb,-135.96,False
-368.191, 0, 0, 0, 0, -68.0621, -300.128, 0, 0, 0, 0, 0, 0, 0, 0,-0.925086,1947.97,3C11__EPI340399,mdscoring_10.pdb,-129.01,False
-359.377, 0, 0, 0, 0, -58.1122, -301.265, 0, 0, 0, 0, 0, 0, 0, 0,-7.57678,1909.16,3C11__EPI340399,mdscoring_4.pdb,-125.94,False
-395.18, 0, 0, 0, 0, -57.8313, -337.349, 0, 0, 0, 0, 0, 0, 0, 0,1.66022,1884.84,3C11__EPI340399,mdscoring_8.pdb,-123.64,False
-516.724, 0, 0, 0, 0, -51.9135, -464.81, 0, 0, 0, 0, 0, 0, 0, 0,5.45168,1863.46,3C11__EPI234494,mdscoring_9.pdb,-139.42,True
-502.511, 0, 0, 0, 0, -50.0297, -452.481, 0, 0, 0, 0, 0, 0, 0, 0,6.93948,1816.57,3C11__EPI234494,mdscoring_6.pdb,-133.59,False
-564.057, 0, 0, 0, 0, -32.7709, -531.286, 0, 0, 0, 0, 0, 0, 0, 0,9.78753,1794.24,3C11__EPI234494,mdscoring_2.pdb,-129.24,False
-487.709, 0, 0, 0, 0, -40.9045, -446.805, 0, 0, 0, 0, 0, 0, 0, 0,3.6869,1849.68,3C11__EPI234494,mdscoring_4.pdb,-126.58,False
-451.873, 0, 0, 0, 0, -49.8707, -402.003, 0, 0, 0, 0, 0, 0, 0, 0,3.71435,1690.51,3C11__EPI234494,mdscoring_1.pdb,-126.56,False
-445.562, 0, 0, 0, 0, -50.7825, -394.78, 0, 0, 0, 0, 0, 0, 0, 0,6.78314,1762.11,3C11__EPI234494,mdscoring_7.pdb,-122.96,False
-410.291, 0, 0, 0, 0, -52.9898, -357.302, 0, 0, 0, 0, 0, 0, 0, 0,4.66166,1848.16,3C11__EPI234494,mdscoring_3.pdb,-119.79,False
-356.477, 0, 0, 0, 0, -55.0401, -301.437, 0, 0, 0, 0, 0, 0, 0, 0,1.90676,1710.85,3C11__EPI234494,mdscoring_8.pdb,-113.42,False
-402.947, 0, 0, 0, 0, -43.8805, -359.066, 0, 0, 0, 0, 0, 0, 0, 0,4.05339,1662.01,3C11__EPI234494,mdscoring_10.pdb,-111.64,False
-354.781, 0, 0, 0, 0, -42.1675, -312.613, 0, 0, 0, 0, 0, 0, 0, 0,4.62062,1687.53,3C11__EPI234494,mdscoring_5.pdb,-100.07,False
-309.799, 0, 0, 0, 0, -97.5942, -212.205, 0, 0, 0, 0, 0, 0, 0, 0,-32.786,2410.22,13D4__EPI275974,mdscoring_4.pdb,-172.82,True
-320.525, 0, 0, 0, 0, -101.995, -218.529, 0, 0, 0, 0, 0, 0, 0, 0,-22.2434,2599.53,13D4__EPI275974,mdscoring_8.pdb,-167.94,False
-242.932, 0, 0, 0, 0, -103.343, -139.589, 0, 0, 0, 0, 0, 0, 0, 0,-31.9384,2381.78,13D4__EPI275974,mdscoring_7.pdb,-163.2,False
-312.514, 0, 0, 0, 0, -99.9013, -212.613, 0, 0, 0, 0, 0, 0, 0, 0,-20.7636,2367.69,13D4__EPI275974,mdscoring_1.pdb,-163.19,False
-258.234, 0, 0, 0, 0, -101.115, -157.119, 0, 0, 0, 0, 0, 0, 0, 0,-30.1443,2379.16,13D4__EPI275974,mdscoring_3.pdb,-162.68,False
-296.739, 0, 0, 0, 0, -93.2287, -203.51, 0, 0, 0, 0, 0, 0, 0, 0,-27.729,2453.38,13D4__EPI275974,mdscoring_10.pdb,-161.66,False
-290.179, 0, 0, 0, 0, -89.6003, -200.579, 0, 0, 0, 0, 0, 0, 0, 0,-25.4427,2432.47,13D4__EPI275974,mdscoring_5.pdb,-155.16,False
-226.261, 0, 0, 0, 0, -91.5557, -134.705, 0, 0, 0, 0, 0, 0, 0, 0,-27.1237,2431.08,13D4__EPI275974,mdscoring_9.pdb,-145.62,False
-207.404, 0, 0, 0, 0, -98.5626, -108.841, 0, 0, 0, 0, 0, 0, 0, 0,-22.7975,2307.45,13D4__EPI275974,mdscoring_6.pdb,-143.13,False
-275.682, 0, 0, 0, 0, -88.4657, -187.216, 0, 0, 0, 0, 0, 0, 0, 0,-17.0153,2466.3,13D4__EPI275974,mdscoring_2.pdb,-142.92,False
-494.74, 0, 0, 0, 0, -82.9725, -411.767, 0, 0, 0, 0, 0, 0, 0, 0,-6.0638,2206.47,AVFluIgG01__EPI1381432,mdscoring_4.pdb,-171.39,True
-488.127, 0, 0, 0, 0, -81.9949, -406.133, 0, 0, 0, 0, 0, 0, 0, 0,-0.505591,2384.64,AVFluIgG01__EPI1381432,mdscoring_3.pdb,-163.73,False
-422.623, 0, 0, 0, 0, -84.5495, -338.073, 0, 0, 0, 0, 0, 0, 0, 0,-5.2148,2400.37,AVFluIgG01__EPI1381432,mdscoring_1.pdb,-157.38,False
-388.511, 0, 0, 0, 0, -78.5448, -309.966, 0, 0, 0, 0, 0, 0, 0, 0,-4.14266,2119.16,AVFluIgG01__EPI1381432,mdscoring_8.pdb,-144.68,False
-367.589, 0, 0, 0, 0, -82.6191, -284.97, 0, 0, 0, 0, 0, 0, 0, 0,4.46105,2397.38,AVFluIgG01__EPI1381432,mdscoring_2.pdb,-135.15,False
-453.813, 0, 0, 0, 0, -59.5827, -394.23, 0, 0, 0, 0, 0, 0, 0, 0,7.93786,2056.86,AVFluIgG01__EPI1381432,mdscoring_10.pdb,-130.49,False
-407.461, 0, 0, 0, 0, -66.3742, -341.087, 0, 0, 0, 0, 0, 0, 0, 0,5.33427,2103.64,AVFluIgG01__EPI1381432,mdscoring_5.pdb,-129.26,False
-338.788, 0, 0, 0, 0, -61.8736, -276.914, 0, 0, 0, 0, 0, 0, 0, 0,-6.17715,2058.2,AVFluIgG01__EPI1381432,mdscoring_6.pdb,-123.43,False
-343.985, 0, 0, 0, 0, -60.2801, -283.705, 0, 0, 0, 0, 0, 0, 0, 0,-5.24025,1976.53,AVFluIgG01__EPI1381432,mdscoring_7.pdb,-122.26,False
