antigen_id,antigen_host_class,antigen_host_order,antigen_host_family,antigen_host_genus,antigen_host_species,antigen_collection_location_continent,antigen_collection_location_country,antigen_collection_location_region,antigen_collection_year
EPI313925,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2010
EPI318115,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Asia,China,Hunan Province,2010
EPI318117,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Asia,China,Hunan Province,2010
EPI321500,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI321502,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI321503,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI321504,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI321510,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI356474,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2010
EPI383166,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI615116,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI615117,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI615118,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI615119,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI615121,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI615124,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI615125,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI724786,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI724794,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI760584,Aves,Not Specified,,,,Asia,China,Hunan Province,2010
EPI954442,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI954450,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,China,Hunan Province,2010
EPI954457,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI954472,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1273070,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI1308334,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2011
EPI1517072,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2011
EPI1892872,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI1892873,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI1892888,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI1892891,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI1892901,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI1892904,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI1892907,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI2085870,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI2580062,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2011
EPI2584611,Environment,Not Specified,,,,Asia,Indonesia,,2011
EPI318122,Aves,Falconiformes,Falconidae,Falco,peregrinus,Asia,China,Hunan Province,2011
EPI321497,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI321501,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2011
EPI383167,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI425616,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI615114,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI615120,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2011
EPI689453,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2011
EPI965238,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2011
EPI461763,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI108113,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2013
EPI1639807,Aves,Not Specified,,,,Asia,Indonesia,,2013
EPI1639815,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,,2013
EPI2584678,Environment,Not Specified,,,,Asia,Indonesia,,2013
EPI2584693,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,,2013
EPI2584772,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2013
EPI2584773,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2013
EPI2584774,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2013
EPI2807602,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,,2013
EPI445998,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2013
EPI446000,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2013
EPI446002,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2013
EPI545443,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2013
EPI559789,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Asia,Indonesia,,2013
EPI3084265,Aves,Not Specified,,,,Asia,China,,2014
EPI3084269,Aves,Not Specified,,,,Asia,China,,2014
EPI749257,Environment,Not Specified,,,,Asia,Japan,,2015
EPI2147642,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2017
EPI965289,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2017
EPI2162749,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2018
EPI2162757,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2018
EPI2162767,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2018
EPI2162773,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2018
EPI3115627,Aves,Not Specified,,,,Asia,Bangladesh,,2018
EPI3115635,Aves,Not Specified,,,,Asia,Bangladesh,,2018
EPI3226811,Aves,Anseriformes,Anatidae,,,Asia,Bangladesh,,2018
EPI448239,Environment,Not Specified,,,,Asia,Bangladesh,,2018
EPI448279,Aves,Not Specified,,,,Asia,Bangladesh,,2018
EPI2580481,Aves,Galliformes,Phasianidae,Meleagris,,Asia,Bangladesh,Dhaka Division,2021
EPI1962113,Aves,Not Specified,,,,Europe,Sweden,Stockholms Lan,2022
EPI2509907,Mammalia,Not Specified,,,,Europe,Sweden,Stockholms Lan,2022
EPI2868801,Aves,Not Specified,,,,Europe,Netherlands,Provincie Friesland,2022
EPI2872620,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,Scotland,2022
EPI2872650,Aves,Not Specified,,,,Europe,United Kingdom,Scotland,2022
EPI2034993,Aves,Not Specified,,,,Europe,Netherlands,"Den Oever, Waddenhaven",2023
EPI2258807,Aves,Not Specified,,,,Europe,Sweden,Skane Lan,2023
EPI2292917,Aves,Not Specified,,,,Europe,Netherlands,"Den Oever, Waddenhaven",2023
EPI2417052,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,"Den Oever, Waddenhaven",2023
EPI2417060,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,"Den Oever, Waddenhaven",2023
EPI2417084,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,"Den Oever, Waddenhaven",2023
EPI2510801,Aves,Not Specified,,,,Europe,Sweden,Skane Lan,2024
EPI2545077,Aves,Not Specified,,,,Europe,Germany,,2024
EPI224600,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2006
EPI184810,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Bangladesh,,2008
EPI221299,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2009
EPI3116297,,Not Specified,,,,Asia,Bangladesh,,2012
EPI806435,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bhutan,,2012
EPI806447,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bhutan,,2012
EPI806556,Aves,Not Specified,,,,Asia,Bhutan,,2012
EPI1273078,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2013
EPI545453,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2013
EPI545458,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2013
EPI2579973,Aves,Anseriformes,Anatidae,,,North America,United States,,2015
EPI3084263,Aves,Not Specified,,,,North America,United States,,2015
EPI1777364,Aves,Passeriformes,Corvidae,Corvus,,Asia,Bangladesh,,2017
EPI1398269,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,West Java,2021
EPI1941418,Aves,Not Specified,,,,Asia,Japan,Hokkaido,2022
EPI2071944,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,United Kingdom,England,2022
EPI2197176,Aves,Not Specified,,,,Europe,United Kingdom,Scotland,2022
EPI2197208,Aves,Not Specified,,,,Europe,United Kingdom,Scotland,2022
EPI2416456,Aves,Not Specified,,,,Europe,United Kingdom,England,2022
EPI2895335,Aves,Not Specified,,,,Asia,Israel,Northern District,2022
EPI3208203,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Italy,,2022
EPI1930019,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Belgium,Province de Hainaut,2023
EPI2017119,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Poland,,2023
EPI2292933,Aves,Not Specified,,,,Europe,Netherlands,"Wieingerwerf, Sluitgatweg",2023
EPI2305273,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,Provincie Friesland,2023
EPI2437342,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Czech Republic,Kralovehradecky Kraj,2023
EPI2455161,Aves,Not Specified,,,,Europe,Czech Republic,Ustecky Kraj,2023
EPI2455177,Aves,Anseriformes,Anatidae,Anser,anser,Europe,Czech Republic,Plzensky Kraj,2023
EPI2585251,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Europe,Austria,Lower Austria,2023
EPI2589477,Aves,Not Specified,,,,Europe,Czech Republic,Stredocesky Kraj,2023
EPI2648225,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Europe,Belgium,Provincie Limburg,2023
EPI2651382,Aves,Not Specified,,,,Europe,Sweden,Skane Lan,2023
EPI2742723,Aves,Not Specified,,,,Asia,North Korea,,2023
EPI2742731,Aves,Not Specified,,,,Asia,North Korea,,2023
EPI2742747,Aves,Not Specified,,,,Asia,North Korea,,2023
EPI2742835,Aves,Not Specified,,,,Asia,North Korea,,2023
EPI2770692,Aves,Not Specified,,,,Europe,Belgium,Province de Liege,2023
EPI2794152,Aves,Charadriiformes,Laridae,,,South America,Chile,Region de Coquimbo,2023
EPI2705375,Aves,Anseriformes,Anatidae,,,Europe,Poland,Lower Silesian Voivodeship,2024
EPI1938803,Aves,Not Specified,,,,Asia,Vietnam,Tinh Tien Giang,2004
EPI723517,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2012
EPI724658,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2012
EPI962542,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2012
EPI962549,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2012
EPI289699,Aves,Anseriformes,Anatidae,Cygnus,,Asia,Vietnam,,2013
EPI942073,Aves,Anseriformes,Anatidae,,,North America,Canada,Alberta,2014
EPI1777372,Aves,Passeriformes,Corvidae,Corvus,,Asia,Bangladesh,,2017
EPI1215580,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,Tinh Long An,2019
EPI1215588,Aves,Anseriformes,Anatidae,Anas,,Asia,Vietnam,Tinh Long An,2019
EPI703986,Aves,Anseriformes,Anatidae,Cairina,moschata,Asia,Vietnam,Tinh Long An,2019
EPI703987,Aves,Anseriformes,Anatidae,Cairina,moschata,Asia,Vietnam,Tinh Long An,2019
EPI1635161,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,Dhaka Division,2022
EPI1635163,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,Dhaka Division,2022
EPI1922909,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,Provincie Flevoland,2022
EPI1995068,Aves,Not Specified,,,,Europe,Moldova,,2022
EPI1995108,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Moldova,,2022
EPI1995164,Aves,Anseriformes,Anatidae,,,Europe,Slovenia,,2022
EPI2001636,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Europe,Belgium,Provincie West-Vlaanderen,2022
EPI2029906,Aves,Columbiformes,Columbidae,,,Europe,Czech Republic,Ustecky Kraj,2022
EPI2141034,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Netherlands,South Holland,2022
EPI2141121,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2278097,Aves,Not Specified,,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2536845,Aves,Anseriformes,Anatidae,,,Europe,France,,2022
EPI2585300,Mammalia,Not Specified,,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2622961,Aves,Not Specified,,,,Europe,Austria,Bundesland Steiermark,2022
EPI2666903,Aves,Not Specified,,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2691205,Aves,Not Specified,,,,Europe,Netherlands,South Holland,2022
EPI2789118,Aves,Not Specified,,,,Europe,Netherlands,South Holland,2022
EPI2800297,Aves,Not Specified,,,,Europe,Netherlands,South Holland,2022
EPI2955933,Aves,Not Specified,,,,Europe,United Kingdom,England,2022
EPI3208179,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Italy,,2022
EPI3208195,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Italy,,2022
EPI1937647,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Sweden,Skane Lan,2023
EPI1941530,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Spain,,2023
EPI2161530,Aves,Not Specified,,,,Europe,Czech Republic,Zlinsky Kraj,2023
EPI2161537,Aves,Not Specified,,,,Europe,Czech Republic,Zlinsky Kraj,2023
EPI2291549,Aves,Not Specified,,,,North America,United States,Virginia,2023
EPI2300692,Aves,Anseriformes,Anatidae,,,Asia,North Korea,,2023
EPI2352698,Aves,Not Specified,,,,Europe,United Kingdom,England,2023
EPI2408678,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Japan,Fukuoka,2023
EPI2455284,Aves,Not Specified,,,,Europe,Romania,,2023
EPI2707387,Aves,Accipitriformes,Accipitridae,,,North America,Canada,British Columbia,2023
EPI2742819,Environment,Not Specified,,,,Asia,North Korea,,2023
EPI2088902,Aves,Not Specified,,,,Europe,Romania,,2024
EPI2114002,Aves,Not Specified,,,,North America,United States,Wisconsin,2024
EPI2141805,Aves,Not Specified,,,,Europe,Romania,,2024
EPI2243779,Aves,Not Specified,,,,Europe,Czech Republic,South Moravian Region,2024
EPI2243787,Aves,Not Specified,,,,Europe,Czech Republic,South Moravian Region,2024
EPI2613598,Aves,Not Specified,,,,North America,United States,Wisconsin,2024
EPI2613606,Aves,Not Specified,,,,North America,United States,California,2024
EPI2613622,Aves,Not Specified,,,,North America,United States,Wisconsin,2024
EPI2705883,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Poland,Subcarpathian Voivodeship,2024
EPI2706190,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Poland,Subcarpathian Voivodeship,2024
EPI2712807,Aves,Anseriformes,Anatidae,,,Europe,Czech Republic,South Moravian Region,2024
EPI2712901,Aves,Not Specified,,,,Europe,Czech Republic,South Moravian Region,2024
EPI2712952,Aves,Not Specified,,,,Europe,Czech Republic,Morovskoslezsky Kraj,2024
EPI2713032,Aves,Not Specified,,,,Europe,Czech Republic,Morovskoslezsky Kraj,2024
EPI2867876,Aves,Not Specified,,,,Europe,Czech Republic,South Moravian Region,2024
EPI2931770,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Czech Republic,Morovskoslezsky Kraj,2024
EPI2931778,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Czech Republic,Morovskoslezsky Kraj,2024
EPI2931786,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Czech Republic,Morovskoslezsky Kraj,2024
EPI305550,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Turkey,Igdir,2006
EPI305553,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Turkey,Erzurum,2006
EPI492328,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI105622,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Asia,Bangladesh,,2010
EPI105628,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Bangladesh,,2010
EPI1098990,Aves,Anseriformes,Anatidae,,,Asia,India,,2012
EPI589835,Aves,Anseriformes,Anatidae,,,Asia,India,,2012
EPI2579980,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bhutan,,2013
EPI424848,Aves,Not Specified,,,,Asia,Bhutan,,2013
EPI1640683,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Henan Province,2015
EPI1640699,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Henan Province,2015
EPI1945219,Aves,Not Specified,,,,Europe,Belgium,Provincie Limburg,2022
EPI1965269,Aves,Accipitriformes,Accipitridae,,,Europe,Netherlands,Provincie Utrecht,2022
EPI1980940,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2088966,Aves,Not Specified,,,,Asia,Japan,Ehime,2022
EPI2140816,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,Provincie Utrecht,2022
EPI2296773,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,England,2022
EPI2589814,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,South Holland,2022
EPI2640912,Aves,Not Specified,,,,Europe,Netherlands,Provincie Gelderland,2022
EPI2800242,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Japan,Ehime,2022
EPI2868809,Aves,Not Specified,,,,Europe,Netherlands,Provincie Limburg,2022
EPI2894975,Aves,Not Specified,,,,Europe,France,,2022
EPI3208187,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Italy,,2022
EPI2053929,Mammalia,Not Specified,,,,Europe,Poland,,2023
EPI2300676,Aves,Not Specified,,,,Asia,North Korea,,2023
EPI2408686,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Czech Republic,Plzensky Kraj,2023
